title,yearOn,yearOff,category,scale
Miro - Konstellation,1939,1941,art,year
Second World War,1939,1945,event,year
Nachkriegsliteratur,1945,1950,epoch,year
"Literatur der DDR, Literatur der BRD",1950,1990,epoch,year
Neue Subjektivität,1970,2018,epoch,year
Berliner Kongress,1978,1980,event,year
Postmoderne,1980,2018,epoch,year
Dreikaiserjahr,1988,1990,event,year
Mauerfall,1989,,event,year
Koons - Ballonhund,1994,1996,art,year
Bourgeois - Maman,1999,2001,art,year
stone tools,-2600000,,event,
hunting,-1700000,,event,
fire,-400000,,,
Mousterian,-160000,-40000,epoch,
Aterian,-145000,-20000,epoch,
cave painting,-44000,,event,
Venus of Hohe Fels,-35000,,event,
Micoquien,-13000,-70000,epoch,
Sangoan,-13000,-10000,epoch,
domesticated animals,-11000,,event,
cities in mesopotamia,-7500,,event,
glass,-3600,,event,
plough,-3500,,event,
script,-3100,,event,
zero,-3000,,event,
iron tools,-2500,,event,
alcohol,-2100,,event,
geometry,-2000,,event,
firework,-2000,,event,
paper,-179,,event,
law of gravity,1687,,invention,
morphium,1827,,invention,
morse-code,1851,,invention,
fire weapon,1860,,invention,
turbine,1884,,invention,
Machine Age,1900,1045,epoch,
airplane,1903,,invention,
antibiotics,1928,,invention,
atomic bomb,1938,,invention,
Atomic Age,1945,1886,epoch,
transistor,1947,,invention,
moon mission,1969,,event,
personal computer,1975,,invention,
space shuttle,1981,,event,
mobile phone,1984,,invention,
